step,mloss,gloss,loss
37400,0.2966,0.8285,1.1251
37500,0.2986,0.8294,1.1280000000000001
37600,0.2976,0.8309,1.1284999999999998
37700,0.298,0.8298,1.1278
37800,0.2964,0.8291,1.1255
37900,0.297,0.8289,1.1259
38000,0.2981,0.8283,1.1264
38100,0.297,0.8299,1.1269
38200,0.2979,0.8294,1.1273
38300,0.2981,0.8301,1.1281999999999999
38400,0.2967,0.8316,1.1283
38500,0.2974,0.8288,1.1261999999999999
38600,0.2972,0.8288,1.126
38700,0.2981,0.8289,1.127
38800,0.2984,0.8296,1.1280000000000001
38900,0.298,0.8314,1.1294
39000,0.296,0.8291,1.1251
39100,0.2987,0.829,1.1277
39200,0.2991,0.8282,1.1273
39300,0.2983,0.8292,1.1275
39400,0.2972,0.8281,1.1253
39500,0.2966,0.8291,1.1257
39600,0.2973,0.829,1.1263
39700,0.297,0.8293,1.1263
39800,0.2968,0.8317,1.1285
39900,0.2919,0.8296,1.1215
40000,0.2973,0.8299,1.1272
40100,0.298,0.8288,1.1268
40200,0.298,0.8281,1.1260999999999999
40300,0.2968,0.8278,1.1246
40400,0.2977,0.828,1.1257
40500,0.2994,0.8282,1.1276000000000002
40600,0.2976,0.8297,1.1273
40700,0.2981,0.8295,1.1276
40800,0.2988,0.8301,1.1289
40900,0.2974,0.8299,1.1273
41000,0.2977,0.8289,1.1266
41100,0.2981,0.8294,1.1275
41200,0.2973,0.8283,1.1256
41300,0.2977,0.8284,1.1261
41400,0.2978,0.8299,1.1277
41500,0.2976,0.8284,1.126
41600,0.2964,0.8283,1.1247
41700,0.298,0.828,1.126
41800,0.2965,0.8294,1.1259000000000001
41900,0.298,0.8305,1.1285
42000,0.2978,0.8278,1.1256
42100,0.2976,0.8267,1.1242999999999999
42200,0.2976,0.8292,1.1268
42300,0.2972,0.8298,1.127
42400,0.2982,0.8299,1.1280999999999999
42500,0.2968,0.8276,1.1244
42600,0.2983,0.8313,1.1296
42700,0.2974,0.8289,1.1263
42800,0.2966,0.8285,1.1251
42900,0.297,0.8294,1.1264
43000,0.298,0.8291,1.1271
43100,0.2972,0.8292,1.1264
43200,0.2964,0.8291,1.1255
43300,0.2991,0.8273,1.1264
43400,0.2977,0.8285,1.1262
43500,0.2981,0.8286,1.1267
43600,0.297,0.8294,1.1264
43700,0.2982,0.8283,1.1265
43800,0.2976,0.8295,1.1271
43900,0.2963,0.8278,1.1240999999999999
44000,0.2962,0.8295,1.1257000000000001
44100,0.2985,0.8279,1.1263999999999998
44200,0.2974,0.8276,1.125
44300,0.2976,0.8294,1.127
44400,0.2981,0.8297,1.1278
44500,0.2976,0.8278,1.1254
44600,0.2976,0.8315,1.1291
44700,0.2979,0.8275,1.1254
44800,0.2965,0.8292,1.1257000000000001
44900,0.2987,0.828,1.1267
45000,0.2983,0.8282,1.1265
45100,0.298,0.8296,1.1276
45200,0.2976,0.8292,1.1268
45300,0.2969,0.8281,1.125
45400,0.2974,0.8291,1.1265
45500,0.2967,0.8288,1.1255
45600,0.2985,0.8291,1.1276
45700,0.2979,0.8294,1.1273
45800,0.2984,0.8283,1.1267
45900,0.2962,0.8288,1.125
46000,0.2974,0.8264,1.1238000000000001
46100,0.2968,0.8296,1.1264
46200,0.296,0.8283,1.1243
46300,0.2962,0.8283,1.1245
46400,0.2974,0.8291,1.1265
46500,0.2975,0.8291,1.1265999999999998
46600,0.2985,0.8276,1.1261
46700,0.2974,0.8281,1.1255
46800,0.2984,0.8288,1.1272
46900,0.2985,0.8291,1.1276
47000,0.2981,0.8274,1.1255
47100,0.2981,0.8286,1.1267
47200,0.2988,0.8282,1.127
47300,0.2968,0.8287,1.1255
47400,0.2996,0.83,1.1296
47500,0.2972,0.8292,1.1264
47600,0.2972,0.8292,1.1264
47700,0.2978,0.8301,1.1279
47800,0.2974,0.8279,1.1253
47900,0.2984,0.8286,1.127
48000,0.2966,0.8288,1.1254
48100,0.2972,0.8281,1.1253
48200,0.297,0.8283,1.1253
48300,0.2953,0.827,1.1223
48400,0.2972,0.8284,1.1256
48500,0.2985,0.8276,1.1261
48600,0.2985,0.8285,1.127
48700,0.2972,0.8309,1.1280999999999999
